Node	feature
B_Azospirillum	genus
B_Providencia	genus
F_Hyphopichia	genus
F_Dentiscutata	genus
B_Tistrella	genus
B_Acinetobacter	genus
B_Cutibacterium	genus
B_Corynebacterium	genus
B_Deinococcus	genus
B_Chryseobacterium	genus
B_Micrococcus	genus
B_Staphylococcus	genus
B_Mycolicibacterium	genus
B_Lawsonella	genus
B_Escherichia	genus
B_Salmonella	genus
F_Emmonsia	genus
F_Mortierella	genus
F_Asellaria	genus
B_Cutibacterium	genus
B_Corynebacterium	genus
B_Deinococcus	genus
B_Chryseobacterium	genus
B_Micrococcus	genus
B_Streptococcus	genus
B_Staphylococcus	genus
B_Lactobacillus	genus
B_Paracoccus	genus
B_Sphingobium	genus
B_Roseomonas	genus
B_Janibacter	genus
B_Kytococcus	genus
B_Anaerococcus	genus
F_Neurospora	genus
F_Kriegeria	genus
B_Pseudomonas	genus
B_Cutibacterium	genus
B_Streptococcus	genus
B_Salmonella	genus
B_Brachybacterium	genus
B_Stenotrophomonas	genus
F_Kregervanrija	genus
F_Polyporoletus	genus
F_Kriegeria	genus
F_Mortierella	genus
B_Pseudomonas	genus
B_Moraxella	genus
B_Acinetobacter	genus
B_Corynebacterium	genus
B_Deinococcus	genus
B_Chryseobacterium	genus
B_Micrococcus	genus
B_Streptococcus	genus
B_Staphylococcus	genus
B_Bacillus	genus
B_Lactobacillus	genus
B_Paracoccus	genus
B_Kocuria	genus
B_Lawsonella	genus
B_Haemophilus	genus
B_Methylobacterium	genus
B_Roseomonas	genus
B_Janibacter	genus
B_Dietzia	genus
B_Anaerococcus	genus
B_Propionibacterium	genus
B_Delftia	genus
F_Kriegeria	genus
B_Pseudomonas	genus
B_Moraxella	genus
B_Cutibacterium	genus
B_Deinococcus	genus
B_Chryseobacterium	genus
B_Micrococcus	genus
B_Streptococcus	genus
B_Staphylococcus	genus
B_Sphingomonas	genus
B_Paracoccus	genus
B_Lawsonella	genus
B_Haemophilus	genus
B_Methylobacterium	genus
B_Massilia	genus
B_Roseomonas	genus
B_Kytococcus	genus
B_Anaerococcus	genus
B_Propionibacterium	genus
B_Prevotella	genus
B_Auricoccus	genus
F_Kriegeria	genus
B_Pseudomonas	genus
B_Moraxella	genus
B_Cutibacterium	genus
B_Corynebacterium	genus
B_Chryseobacterium	genus
B_Micrococcus	genus
B_Staphylococcus	genus
B_Paracoccus	genus
B_Kocuria	genus
B_Chroococcidiopsis	genus
B_Lawsonella	genus
B_Methylobacterium	genus
B_Leptotrichia	genus
B_Roseomonas	genus
B_Janibacter	genus
B_Dietzia	genus
B_Rothia	genus
B_Brachybacterium	genus
B_Fusobacterium	genus
B_Propionibacterium	genus
B_Rheinheimera	genus
B_Prevotella	genus
B_Gordonia	genus
B_Gemella	genus
B_Thioclava	genus
B_Marinobacter	genus
B_Altererythrobacter	genus
F_Anthracobia	genus
F_Kriegeria	genus
B_Pseudomonas	genus
B_Moraxella	genus
B_Cutibacterium	genus
B_Corynebacterium	genus
B_Deinococcus	genus
B_Micrococcus	genus
B_Sphingomonas	genus
B_Methylobacterium	genus
B_Gemella	genus
B_Sphingopyxis	genus
F_Kriegeria	genus
B_Pseudomonas	genus
B_Moraxella	genus
B_Cutibacterium	genus
B_Corynebacterium	genus
B_Deinococcus	genus
B_Chryseobacterium	genus
B_Streptococcus	genus
B_Staphylococcus	genus
B_Paracoccus	genus
B_Dermacoccus	genus
B_Lawsonella	genus
B_Janibacter	genus
B_Dietzia	genus
B_Rothia	genus
B_Fusobacterium	genus
B_Anaerococcus	genus
B_Gordonia	genus
B_Auricoccus	genus
B_Phenylobacterium	genus
F_Kriegeria	genus
B_Moraxella	genus
B_Acinetobacter	genus
B_Cutibacterium	genus
B_Corynebacterium	genus
B_Micrococcus	genus
B_Staphylococcus	genus
B_Brevundimonas	genus
B_Lawsonella	genus
B_Haemophilus	genus
B_Anaerococcus	genus
B_Luteimonas	genus
F_Kriegeria	genus
B_Pseudomonas	genus
B_Moraxella	genus
B_Cutibacterium	genus
B_Corynebacterium	genus
B_Deinococcus	genus
B_Micrococcus	genus
B_Streptococcus	genus
B_Paracoccus	genus
B_Haemophilus	genus
B_Massilia	genus
B_Roseomonas	genus
B_Anaerococcus	genus
B_Prevotella	genus
F_Diploospora	genus
F_Kriegeria	genus
B_Cutibacterium	genus
B_Pseudomonas	genus
B_Salmonella	genus
B_Glutamicibacter	genus
B_Runella	genus
B_Cohnella	genus
B_Photobacterium	genus
B_Faecalitalea	genus
F_Saturnispora	genus
B_Corynebacterium	genus
B_Chryseobacterium	genus
B_Methylobacterium	genus
B_Sphingosinicella	genus
B_Altererythrobacter	genus
B_Streptomyces	genus
F_Kodamaea	genus
F_Podospora	genus
F_Nolanea	genus
F_Pacispora	genus
F_Rhizophagus	genus
B_Moraxella	genus
B_Cutibacterium	genus
B_Brevibacterium	genus
B_Leptotrichia	genus
B_Neisseria	genus
B_Fusobacterium	genus
B_Capnocytophaga	genus
B_Lachnoanaerobaculum	genus
B_Ottowia	genus
B_Nocardia	genus
B_Nitrospira	genus
F_Hyalorbilia	genus
B_Vibrio	genus
B_Mycobacterium	genus
B_Kitasatospora	genus
B_Oerskovia	genus
F_Antennariella	genus
F_Microsphaeropsis	genus
F_Buellia	genus
F_Dactylaria	genus
F_Meliola	genus
F_Podospora	genus
F_Microsporidium	genus
F_Pacispora	genus
B_Moraxella	genus
B_Cutibacterium	genus
B_Corynebacterium	genus
B_Deinococcus	genus
B_Micrococcus	genus
B_Staphylococcus	genus
B_Lawsonella	genus
B_Roseomonas	genus
B_Janibacter	genus
B_Rothia	genus
B_Brachybacterium	genus
B_Kytococcus	genus
B_Propionibacterium	genus
B_Prevotella	genus
B_Capnocytophaga	genus
B_Gordonia	genus
B_Bosea	genus
B_Novosphingobium	genus
F_Paracoccidioides	genus
F_Hyphoderma	genus
F_Kriegeria	genus
F_Nosema	genus
F_Mortierella	genus
F_Backusella	genus
B_Cutibacterium	genus
B_Deinococcus	genus
B_Roseomonas	genus
B_Deinococcus	genus
B_Dietzia	genus
B_Auricoccus	genus
B_Thioclava	genus
B_Dolosigranulum	genus
B_Lactococcus	genus
B_Variibacter	genus
B_Lactobacillus	genus
B_Hydrogenophaga	genus
F_Placidium	genus
B_Brevibacterium	genus
B_Micromonospora	genus
B_Mycolicibacter	genus
F_Cryomyces	genus
F_Bulbillomyces	genus
F_Lobulomyces	genus
F_Vittaforma	genus
F_Pacispora	genus
F_Lichtheimia	genus
B_Moraxella	genus
B_Dietzia	genus
B_Micrococcus	genus
B_Propionibacterium	genus
B_Phenylobacterium	genus
B_Wolbachia	genus
F_Lichtheimia	genus
B_Burkholderia	genus
B_Dietzia	genus
B_Bosea	genus
B_Kitasatospora	genus
B_Methylosinus	genus
F_Microsphaeropsis	genus
F_Marthamyces	genus
F_Stereum	genus
B_Streptococcus	genus
B_Veillonella	genus
B_Mycobacterium	genus
B_Pseudomonas	genus
B_Cutibacterium	genus
B_Corynebacterium	genus
B_Deinococcus	genus
B_Micrococcus	genus
B_Streptococcus	genus
B_Paracoccus	genus
B_Janibacter	genus
B_Anaerococcus	genus
B_Gordonia	genus
B_Sphingopyxis	genus
B_Weissella	genus
F_Blackwellomyces	genus
B_Cutibacterium	genus
B_Corynebacterium	genus
B_Streptococcus	genus
B_Staphylococcus	genus
B_Dietzia	genus
B_Sphingosinicella	genus
F_Mitosporidium	genus
B_Pseudomonas	genus
B_Salmonella	genus
B_Cutibacterium	genus
B_Corynebacterium	genus
B_Deinococcus	genus
B_Chryseobacterium	genus
B_Sphingomonas	genus
B_Novosphingobium	genus
B_Thioclava	genus
F_Penicillium	genus
F_Kriegeria	genus
B_Rhodococcus	genus
B_Mycobacterium	genus
B_Bosea	genus
F_Nematocida	genus
B_Deinococcus	genus
B_Actinomyces	genus
B_Neisseria	genus
B_Fusobacterium	genus
B_Anaerococcus	genus
B_Prevotella	genus
B_Capnocytophaga	genus
B_Veillonella	genus
B_Lachnoanaerobaculum	genus
B_Schaalia	genus
B_Nocardia	genus
B_Dolosigranulum	genus
B_Porphyromonas	genus
B_Selenomonas	genus
B_Olsenella	genus
B_Tannerella	genus
F_Cladonia	genus
F_Bannozyma	genus
F_Hyaloraphidium	genus
F_Rhizophagus	genus
B_Corynebacterium	genus
B_Staphylococcus	genus
