source	target	cor	P/N
B_Azospirillum	A_Archaeoglobus	0.347247890620477	P
B_Providencia	A_Archaeoglobus	0.348484152371704	P
F_Hyphopichia	A_Archaeoglobus	0.417286959270389	P
F_Dentiscutata	A_Methanosarcina	0.377398081534772	P
B_Tistrella	A_Thermococcus	0.333545645925527	P
B_Acinetobacter	B_Pseudomonas	0.448034468024498	P
B_Cutibacterium	B_Pseudomonas	0.414113359037656	P
B_Corynebacterium	B_Pseudomonas	0.423983563340533	P
B_Deinococcus	B_Pseudomonas	0.337053282527316	P
B_Chryseobacterium	B_Pseudomonas	0.36024965226362	P
B_Micrococcus	B_Pseudomonas	0.319708226330866	P
B_Staphylococcus	B_Pseudomonas	0.387219065810357	P
B_Mycolicibacterium	B_Pseudomonas	0.321323911612322	P
B_Lawsonella	B_Pseudomonas	0.367202206860596	P
B_Escherichia	B_Pseudomonas	0.32859789779296	P
B_Salmonella	B_Pseudomonas	0.466681427837153	P
F_Emmonsia	B_Pseudomonas	0.325534909383977	N
F_Mortierella	B_Pseudomonas	0.407342258937473	N
F_Asellaria	B_Pseudomonas	0.341212558773942	P
B_Cutibacterium	B_Moraxella	0.469228339530611	P
B_Corynebacterium	B_Moraxella	0.548158353089044	P
B_Deinococcus	B_Moraxella	0.423933371183976	P
B_Chryseobacterium	B_Moraxella	0.450568900048701	P
B_Micrococcus	B_Moraxella	0.449701426385904	P
B_Streptococcus	B_Moraxella	0.40616767618325	P
B_Staphylococcus	B_Moraxella	0.443115374743045	P
B_Lactobacillus	B_Moraxella	0.375174781124939	P
B_Paracoccus	B_Moraxella	0.41219418587656	P
B_Sphingobium	B_Moraxella	0.333452468119905	P
B_Roseomonas	B_Moraxella	0.347427862079723	P
B_Janibacter	B_Moraxella	0.361898557201981	P
B_Kytococcus	B_Moraxella	0.354534689609088	P
B_Anaerococcus	B_Moraxella	0.365880818454195	P
F_Neurospora	B_Moraxella	0.325665630269372	N
F_Kriegeria	B_Moraxella	0.328738283407869	P
B_Cutibacterium	B_Acinetobacter	0.324273893041147	P
B_Streptococcus	B_Acinetobacter	0.349841978751776	P
B_Salmonella	B_Acinetobacter	0.344860473466603	P
B_Brachybacterium	B_Acinetobacter	0.346819457537601	P
B_Stenotrophomonas	B_Acinetobacter	0.329102540481823	P
F_Kregervanrija	B_Acinetobacter	0.346006592886382	N
F_Polyporoletus	B_Acinetobacter	0.326959795462717	N
F_Kriegeria	B_Acinetobacter	0.323031409507729	P
F_Mortierella	B_Acinetobacter	0.334945164506481	N
B_Corynebacterium	B_Cutibacterium	0.629334845204034	P
B_Deinococcus	B_Cutibacterium	0.441660443399019	P
B_Chryseobacterium	B_Cutibacterium	0.394431551310257	P
B_Micrococcus	B_Cutibacterium	0.500363603277701	P
B_Streptococcus	B_Cutibacterium	0.390591881241738	P
B_Staphylococcus	B_Cutibacterium	0.483473597589681	P
B_Bacillus	B_Cutibacterium	0.32680460237656	P
B_Lactobacillus	B_Cutibacterium	0.462728324028264	P
B_Paracoccus	B_Cutibacterium	0.461084741586205	P
B_Kocuria	B_Cutibacterium	0.334594879871408	P
B_Lawsonella	B_Cutibacterium	0.503980336878595	P
B_Haemophilus	B_Cutibacterium	0.364148624230074	P
B_Methylobacterium	B_Cutibacterium	0.372467152939585	P
B_Roseomonas	B_Cutibacterium	0.3728627720471	P
B_Janibacter	B_Cutibacterium	0.333389305846817	P
B_Dietzia	B_Cutibacterium	0.331175128056656	P
B_Anaerococcus	B_Cutibacterium	0.43352004939243	P
B_Propionibacterium	B_Cutibacterium	0.41606991779198	P
B_Delftia	B_Cutibacterium	0.337674977679766	P
F_Kriegeria	B_Cutibacterium	0.328752800552231	P
B_Deinococcus	B_Corynebacterium	0.433008717386068	P
B_Chryseobacterium	B_Corynebacterium	0.356956280343051	P
B_Micrococcus	B_Corynebacterium	0.372519046416002	P
B_Streptococcus	B_Corynebacterium	0.351442431746001	P
B_Staphylococcus	B_Corynebacterium	0.515933835151943	P
B_Sphingomonas	B_Corynebacterium	0.352141471923022	P
B_Paracoccus	B_Corynebacterium	0.337379332362897	P
B_Lawsonella	B_Corynebacterium	0.343703507395735	P
B_Haemophilus	B_Corynebacterium	0.425980637552176	P
B_Methylobacterium	B_Corynebacterium	0.346025211523175	P
B_Massilia	B_Corynebacterium	0.323486842258	P
B_Roseomonas	B_Corynebacterium	0.380068289944833	P
B_Kytococcus	B_Corynebacterium	0.351214212499801	P
B_Anaerococcus	B_Corynebacterium	0.325977129006447	P
B_Propionibacterium	B_Corynebacterium	0.352532161742043	P
B_Prevotella	B_Corynebacterium	0.334351899803645	P
