Node	feature
B_Azospirillum	genus
B_Providencia	genus
F_Hyphopichia	genus
F_Dentiscutata	genus
B_Tistrella	genus
B_Acinetobacter	genus
B_Cutibacterium	genus
B_Corynebacterium	genus
B_Deinococcus	genus
B_Chryseobacterium	genus
B_Micrococcus	genus
B_Staphylococcus	genus
B_Mycolicibacterium	genus
B_Lawsonella	genus
B_Escherichia	genus
B_Salmonella	genus
F_Emmonsia	genus
F_Mortierella	genus
F_Asellaria	genus
B_Streptococcus	genus
B_Lactobacillus	genus
B_Paracoccus	genus
B_Sphingobium	genus
B_Roseomonas	genus
B_Janibacter	genus
B_Kytococcus	genus
B_Anaerococcus	genus
F_Neurospora	genus
F_Kriegeria	genus
B_Pseudomonas	genus
B_Brachybacterium	genus
B_Stenotrophomonas	genus
F_Kregervanrija	genus
F_Polyporoletus	genus
B_Moraxella	genus
B_Bacillus	genus
B_Kocuria	genus
B_Haemophilus	genus
B_Methylobacterium	genus
B_Dietzia	genus
B_Propionibacterium	genus
B_Delftia	genus
B_Sphingomonas	genus
B_Massilia	genus
B_Prevotella	genus
B_Auricoccus	genus
B_Chroococcidiopsis	genus
B_Leptotrichia	genus
B_Rothia	genus
B_Fusobacterium	genus
B_Rheinheimera	genus
B_Gordonia	genus
B_Gemella	genus
B_Thioclava	genus
B_Marinobacter	genus
B_Altererythrobacter	genus
F_Anthracobia	genus
B_Sphingopyxis	genus
B_Dermacoccus	genus
B_Phenylobacterium	genus
B_Brevundimonas	genus
B_Luteimonas	genus
F_Diploospora	genus
B_Glutamicibacter	genus
B_Runella	genus
B_Cohnella	genus
B_Photobacterium	genus
B_Faecalitalea	genus
F_Saturnispora	genus
B_Sphingosinicella	genus
B_Streptomyces	genus
F_Kodamaea	genus
F_Podospora	genus
F_Nolanea	genus
F_Pacispora	genus
F_Rhizophagus	genus
B_Brevibacterium	genus
B_Neisseria	genus
B_Capnocytophaga	genus
B_Lachnoanaerobaculum	genus
B_Ottowia	genus
B_Nocardia	genus
B_Nitrospira	genus
F_Hyalorbilia	genus
B_Vibrio	genus
B_Mycobacterium	genus
B_Kitasatospora	genus
B_Oerskovia	genus
F_Antennariella	genus
F_Microsphaeropsis	genus
F_Buellia	genus
F_Dactylaria	genus
F_Meliola	genus
F_Microsporidium	genus
B_Bosea	genus
B_Novosphingobium	genus
F_Paracoccidioides	genus
F_Hyphoderma	genus
F_Nosema	genus
F_Backusella	genus
B_Dolosigranulum	genus
B_Lactococcus	genus
B_Variibacter	genus
B_Hydrogenophaga	genus
F_Placidium	genus
B_Micromonospora	genus
B_Mycolicibacter	genus
F_Cryomyces	genus
F_Bulbillomyces	genus
F_Lobulomyces	genus
F_Vittaforma	genus
F_Lichtheimia	genus
B_Wolbachia	genus
B_Burkholderia	genus
B_Methylosinus	genus
F_Marthamyces	genus
F_Stereum	genus
B_Veillonella	genus
B_Weissella	genus
F_Blackwellomyces	genus
F_Mitosporidium	genus
F_Penicillium	genus
B_Rhodococcus	genus
F_Nematocida	genus
B_Actinomyces	genus
B_Schaalia	genus
B_Porphyromonas	genus
B_Selenomonas	genus
B_Olsenella	genus
B_Tannerella	genus
F_Cladonia	genus
F_Bannozyma	genus
F_Hyaloraphidium	genus
F_Cladosporium	genus
B_Paraburkholderia	genus
F_Parastagonospora	genus
B_Polynucleobacter	genus
B_Thermosporothrix	genus
B_Dickeya	genus
F_Discostroma	genus
F_Ustilago	genus
F_Abrothallus	genus
B_Microvirga	genus
B_Nesterenkonia	genus
F_Psoroglaena	genus
F_Spathaspora	genus
F_Wickerhamomyces	genus
B_Oligotropha	genus
B_Nitrobacter	genus
B_Rhodanobacter	genus
B_Ralstonia	genus
F_Pyrenophora	genus
F_Platythecium	genus
B_Yersinia	genus
B_Lautropia	genus
B_Saccharospirillum	genus
B_Gardnerella	genus
B_Eikenella	genus
B_Candidatus Saccharimonas	genus
B_Rathayibacter	genus
B_Erysipelothrix	genus
B_Nocardioides	genus
B_Aquabacterium	genus
B_Tsukamurella	genus
B_Thermomonas	genus
B_Roseburia	genus
B_Anaerostipes	genus
B_Coprococcus	genus
B_Megamonas	genus
B_Flintibacter	genus
B_Anaerotignum	genus
B_Romboutsia	genus
B_Pseudopropionibacterium	genus
F_Saccharomyces	genus
B_Modestobacter	genus
B_Finegoldia	genus
B_Magnetospirillum	genus
F_Sugiyamaella	genus
B_Pseudoxanthomonas	genus
B_Halomonas	genus
F_Acanthothecis	genus
A_Archaeoglobus	genus
B_Alistipes	genus
B_Lachnoclostridium	genus
F_Zygoascus	genus
F_Kuraishia	genus
B_Negativicoccus	genus
F_Ascitendus	genus
F_Pluteus	genus
B_Ruminococcus	genus
B_Ruthenibacterium	genus
F_Bipolaris	genus
B_Gramella	genus
F_Knoxdaviesia	genus
F_Barnettozyma	genus
F_Hygrocybe	genus
F_Psathyrella	genus
B_Faecalibacterium	genus
B_Arsenophonus	genus
F_Porpomyces	genus
B_Arsenicicoccus	genus
F_Coelomomyces	genus
F_Schizothyrium	genus
B_Synechococcus	genus
F_Favolus	genus
B_Saccharopolyspora	genus
F_Dematiopleospora	genus
F_Lopezaria	genus
F_Symbiotaphrina	genus
B_Buchnera	genus
B_Haematobacter	genus
B_Liberibacter	genus
F_Ascodesmis	genus
B_Enterococcus	genus
B_Herbaspirillum	genus
F_Capronia	genus
F_Saitozyma	genus
B_Peptoniphilus	genus
F_Scopuloides	genus
F_Phragmotaenium	genus
B_Spirochaeta	genus
F_Ambrosiella	genus
F_Anthracocystis	genus
B_Bacteroides	genus
B_Labilithrix	genus
F_Teratosphaeria	genus
F_Bacidia	genus
F_Nephroma	genus
F_Rectipilus	genus
B_Candidatus Nanopelagicus	genus
B_Megasphaera	genus
F_Pezicula	genus
F_Coleosporium	genus
F_Phialemoniopsis	genus
B_Lysinibacillus	genus
B_Anaerobutyricum	genus
B_Blautia	genus
B_Eubacterium	genus
B_Sorangium	genus
B_Butyrivibrio	genus
B_Luteibacter	genus
B_Dialister	genus
B_Parabacteroides	genus
B_Sutterella	genus
B_Hungatella	genus
B_Tyzzerella	genus
B_Collinsella	genus
F_Pseudocercospora	genus
F_Fomitiporia	genus
F_Heterogastridium	genus
B_Aeribacillus	genus
B_Thioploca	genus
F_Alternaria	genus
B_Flavisolibacter	genus
F_Cryptocoryneum	genus
B_Rhodobaca	genus
B_Variovorax	genus
B_Acidithiobacillus	genus
F_Coprinopsis	genus
B_Pseudonocardia	genus
F_Paraphaeosphaeria	genus
B_Sphaerotilus	genus
B_Pasteurella	genus
F_Rhizomucor	genus
B_Campylobacter	genus
B_Amycolatopsis	genus
F_Kalmanozyma	genus
B_Riemerella	genus
B_Leuconostoc	genus
F_Rhynchosporium	genus
F_Carlosrosaea	genus
F_Teratoramularia	genus
B_Rhodoplanes	genus
B_Pectobacterium	genus
B_Xylanibacterium	genus
F_Curvularia	genus
B_Ezakiella	genus
F_Naganishia	genus
B_Limnohabitans	genus
B_Kushneria	genus
B_Leucobacter	genus
F_Tubaria	genus
F_Purpureocillium	genus
B_Psychrobacter	genus
F_Batrachochytrium	genus
B_Clostridium	genus
B_Auritidibacter	genus
B_Pajaroellobacter	genus
B_Parvimonas	genus
B_Rickettsia	genus
B_Microlunatus	genus
F_Didymella	genus
B_Nitrosomonas	genus
B_Aerococcus	genus
B_Streptosporangium	genus
B_Kordia	genus
B_Arcobacter	genus
F_Trichothecium	genus
F_Gyrographa	genus
F_Leptogium	genus
B_Aggregatibacter	genus
B_Emticicia	genus
F_Volvocisporium	genus
B_Acidovorax	genus
B_Microcoleus	genus
F_Hymenochaete	genus
B_Kurthia	genus
F_Cyphellophora	genus
B_Cellvibrio	genus
B_Devosia	genus
B_Kribbella	genus
B_Muribaculum	genus
B_Trueperella	genus
B_Arthrobacter	genus
F_Petractis	genus
F_Tilletiaria	genus
B_Castellaniella	genus
B_Arachidicoccus	genus
B_Minicystis	genus
B_Geminobacterium	genus
B_Micropruina	genus
B_Treponema	genus
B_Kosakonia	genus
B_Elizabethkingia	genus
B_Alcanivorax	genus
B_Pseudaminobacter	genus
F_Verrucula	genus
B_Neorhizobium	genus
F_Physcia	genus
F_Medeolaria	genus
F_Phleogena	genus
F_Hyaloscypha	genus
B_Calothrix	genus
F_Zygosaccharomyces	genus
F_Lyophyllum	genus
