source	target	cor	P/N
B_Afipia	A_Archaeoglobus	0.304713844815105	P
B_Azospirillum	A_Archaeoglobus	0.412631840963103	P
B_Providencia	A_Archaeoglobus	0.327883930045048	P
B_Ilumatobacter	A_Archaeoglobus	0.333965082594503	P
F_Candida	A_Archaeoglobus	0.275526053260662	P
F_Hyphopichia	A_Archaeoglobus	0.361709224303598	P
B_Campylobacter	A_Methanolobus	0.309405345710604	P
F_Petractis	A_Methanosarcina	0.308659167215562	P
B_Shewanella	A_Thermococcus	0.279071075333414	P
B_Nostoc	A_Thermococcus	0.275158733543782	P
B_Erwinia	A_Thermococcus	0.27665340116894	P
F_Hyalorbilia	A_Thermococcus	0.288762869145687	N
B_Acinetobacter	B_Pseudomonas	0.34531742289108	P
B_Escherichia	B_Pseudomonas	0.380354617517128	P
B_Liberibacter	B_Pseudomonas	0.299874201748228	N
B_Riemerella	B_Pseudomonas	0.395710230291834	N
B_Candidatus Cardinium	B_Pseudomonas	0.320166636650039	N
B_Alistipes	B_Pseudomonas	0.389956890075324	N
B_Hydrogenobaculum	B_Pseudomonas	0.29462148865976	N
B_Candidatus Saccharimonas	B_Pseudomonas	0.325917593929594	N
B_Corallococcus	B_Pseudomonas	0.330873783172888	N
B_Lutibacter	B_Pseudomonas	0.364134559251221	N
B_Apibacter	B_Pseudomonas	0.318670898008808	N
F_Pyrenophora	B_Pseudomonas	0.304493623022014	P
F_Podospora	B_Pseudomonas	0.310538607433866	P
F_Psathyrella	B_Pseudomonas	0.30200537953165	P
B_Acinetobacter	B_Moraxella	0.329391562885729	P
B_Cutibacterium	B_Moraxella	0.471956437062083	P
B_Corynebacterium	B_Moraxella	0.351559409825876	P
B_Deinococcus	B_Moraxella	0.383553864260795	P
B_Chryseobacterium	B_Moraxella	0.537621404587747	P
B_Micrococcus	B_Moraxella	0.491579228262388	P
B_Streptococcus	B_Moraxella	0.401365323559008	P
B_Sphingomonas	B_Moraxella	0.405221204838033	P
B_Paracoccus	B_Moraxella	0.444675625277496	P
B_Kocuria	B_Moraxella	0.414580914411235	P
B_Sphingobium	B_Moraxella	0.360868200514728	P
B_Dermacoccus	B_Moraxella	0.454239927694721	P
B_Methylobacterium	B_Moraxella	0.312732079567354	P
B_Leptotrichia	B_Moraxella	0.312462980329526	P
B_Roseomonas	B_Moraxella	0.367532247251525	P
B_Microbacterium	B_Moraxella	0.280238693888449	P
B_Neisseria	B_Moraxella	0.361093158992719	P
