Node	feature
B_Afipia	genus
B_Azospirillum	genus
B_Providencia	genus
B_Ilumatobacter	genus
F_Candida	genus
F_Hyphopichia	genus
B_Campylobacter	genus
F_Petractis	genus
B_Shewanella	genus
B_Nostoc	genus
B_Erwinia	genus
F_Hyalorbilia	genus
B_Acinetobacter	genus
B_Escherichia	genus
B_Liberibacter	genus
B_Riemerella	genus
B_Candidatus Cardinium	genus
B_Alistipes	genus
B_Hydrogenobaculum	genus
B_Candidatus Saccharimonas	genus
B_Corallococcus	genus
B_Lutibacter	genus
B_Apibacter	genus
F_Pyrenophora	genus
F_Podospora	genus
F_Psathyrella	genus
B_Cutibacterium	genus
B_Corynebacterium	genus
B_Deinococcus	genus
B_Chryseobacterium	genus
B_Micrococcus	genus
B_Streptococcus	genus
B_Sphingomonas	genus
B_Paracoccus	genus
B_Kocuria	genus
B_Sphingobium	genus
B_Dermacoccus	genus
B_Methylobacterium	genus
B_Leptotrichia	genus
B_Roseomonas	genus
B_Microbacterium	genus
B_Neisseria	genus
B_Janibacter	genus
B_Fusobacterium	genus
B_Propionibacterium	genus
B_Rheinheimera	genus
B_Capnocytophaga	genus
B_Gemella	genus
B_Veillonella	genus
B_Cloacibacterium	genus
B_Citricoccus	genus
B_Lachnoanaerobaculum	genus
B_Devosia	genus
B_Schaalia	genus
B_Skermanella	genus
B_Auritidibacter	genus
B_Spirochaeta	genus
B_Pontibacter	genus
B_Acetobacter	genus
B_Zymomonas	genus
B_Micavibrio	genus
F_Umbilicaria	genus
F_Medeolaria	genus
F_Xenoacremonium	genus
F_Kriegeria	genus
F_Boothiomyces	genus
F_Mortierella	genus
F_Backusella	genus
F_Neozygites	genus
B_Pseudomonas	genus
B_Moraxella	genus
B_Agrococcus	genus
B_Staphylococcus	genus
B_Lactobacillus	genus
B_Lawsonella	genus
B_Haemophilus	genus
B_Kytococcus	genus
B_Finegoldia	genus
B_Selenomonas	genus
F_Cintractia	genus
B_Chroococcidiopsis	genus
B_Rothia	genus
B_Dermabacter	genus
B_Luteibacter	genus
F_Sporothrix	genus
B_Pseudonocardia	genus
B_Flavobacterium	genus
B_Pantoea	genus
B_Elizabethkingia	genus
B_Phenylobacterium	genus
B_Candidatus Sulcia	genus
B_Arsenicicoccus	genus
B_Tetragenococcus	genus
B_Desulfovibrio	genus
F_Hanseniaspora	genus
B_Sphingobacterium	genus
B_Gordonia	genus
B_Thioclava	genus
B_Martelella	genus
B_Haematobacter	genus
B_Acholeplasma	genus
F_Tulostoma	genus
B_Dietzia	genus
B_Brachybacterium	genus
B_Halomonas	genus
B_Xanthomonas	genus
B_Altererythrobacter	genus
B_Acidiphilium	genus
B_Pseudoxanthomonas	genus
B_Anaerococcus	genus
B_Enterococcus	genus
B_Tsukamurella	genus
B_Chromohalobacter	genus
B_Listeria	genus
F_Coccocarpia	genus
B_Sphingosinicella	genus
B_Thiococcus	genus
F_Amniculicola	genus
F_Monodictys	genus
F_Placidium	genus
F_Hypsizygus	genus
F_Hydnochaete	genus
B_Nocardia	genus
B_Caulobacter	genus
F_Velutarina	genus
F_Ascitendus	genus
B_Burkholderia	genus
B_Alteromonas	genus
B_Kushneria	genus
B_Geobacillus	genus
B_Pectobacterium	genus
F_Macrohyporia	genus
F_Melanopsichium	genus
B_Lysobacter	genus
B_Saccharopolyspora	genus
B_Aureimonas	genus
B_Defluviimonas	genus
F_Teratosphaeria	genus
B_Hydrogenophaga	genus
B_Bdellovibrio	genus
B_Microlunatus	genus
B_Micropruina	genus
F_Buellia	genus
F_Kazachstania	genus
F_Boletus	genus
F_Claroideoglomus	genus
F_Kuzuhaea	genus
B_Actinomyces	genus
F_Periconia	genus
F_Tylopilus	genus
B_Bradyrhizobium	genus
B_Terriglobus	genus
B_Kitasatospora	genus
F_Paraphaeosphaeria	genus
F_Penicillium	genus
F_Dactylina	genus
F_Platythecium	genus
F_Saccharomyces	genus
F_Inocybe	genus
B_Acidovorax	genus
B_Bosea	genus
B_Solimonas	genus
B_Microcoleus	genus
F_Phyllopsora	genus
F_Clavispora	genus
F_Septoglomus	genus
B_Cellvibrio	genus
B_Luteimonas	genus
B_Nesterenkonia	genus
B_Luteipulveratus	genus
B_Peptoniphilus	genus
B_Gemmata	genus
B_Vibrio	genus
B_Micromonospora	genus
B_Georgenia	genus
B_Lysinimonas	genus
B_Oligotropha	genus
B_Sporosarcina	genus
F_Herpothallon	genus
F_Cryomyces	genus
F_Aspergillus	genus
F_Kodamaea	genus
F_Sistotrema	genus
B_Bacillus	genus
B_Serratia	genus
B_Leptolyngbya	genus
B_Halothece	genus
F_Melanotaenium	genus
B_Lautropia	genus
B_Arthrobacter	genus
B_Bacteroides	genus
B_Nocardiopsis	genus
B_Blautia	genus
B_Tessaracoccus	genus
B_Porphyrobacter	genus
B_Olsenella	genus
B_Tannerella	genus
B_Acidipropionibacterium	genus
B_Candidatus Phytoplasma	genus
B_Proteus	genus
B_Streptosporangium	genus
B_Pseudopropionibacterium	genus
B_Kordiimonas	genus
B_Blastomonas	genus
B_Austwickia	genus
B_Victivallis	genus
B_Aphanizomenon	genus
F_Scheffersomyces	genus
F_Archaeospora	genus
B_Frankia	genus
B_Mesorhizobium	genus
B_Nakamurella	genus
B_Francisella	genus
B_Modestobacter	genus
B_Myxococcus	genus
B_Panacibacter	genus
B_Methylorubrum	genus
F_Dematiopleospora	genus
F_Diploospora	genus
F_Myelochroa	genus
F_Heliocephala	genus
F_Luteoporia	genus
B_Rhodobacter	genus
F_Endocarpon	genus
B_Salmonella	genus
B_Xenorhabdus	genus
B_Candidatus Planktophila	genus
B_Novosphingobium	genus
B_Chitinophaga	genus
B_Yersinia	genus
B_Delftia	genus
B_Thermus	genus
F_Microsphaeropsis	genus
B_Prevotella	genus
B_Mitsuaria	genus
B_Ochrobactrum	genus
F_Cladochytrium	genus
F_Sodiomyces	genus
B_Rhodococcus	genus
B_Janthinobacterium	genus
F_Wolfiporia	genus
F_Hornodermoporus	genus
B_Stenotrophomonas	genus
F_Parastagonospora	genus
F_Vittaforma	genus
B_Sphingopyxis	genus
B_Taylorella	genus
F_Symbiotaphrina	genus
B_Magnetospirillum	genus
F_Microallomyces	genus
B_Streptomyces	genus
F_Thysanothecium	genus
B_Limnohabitans	genus
B_Phreatobacter	genus
A_Archaeoglobus	genus
B_Nitrobacter	genus
F_Exophiala	genus
B_Rickettsia	genus
F_Chlorociboria	genus
F_Gonapodya	genus
F_Ganoderma	genus
B_Alcanivorax	genus
B_Curvibacter	genus
F_Llimoniella	genus
B_Pseudoalteromonas	genus
B_Marmoricola	genus
F_Suberoteratosphaeria	genus
F_Capronia	genus
B_Leucobacter	genus
B_Kineococcus	genus
F_Schizothyrium	genus
F_Phlebia	genus
F_Trametes	genus
F_Superstratomyces	genus
F_Encephalitozoon	genus
B_Exiguobacterium	genus
B_Aquabacterium	genus
B_Acidobacterium	genus
F_Ramicandelaber	genus
B_Trueperella	genus
F_Xeromyces	genus
F_Bacidia	genus
F_Microcalicium	genus
F_Flammulina	genus
F_Lachnella	genus
F_Phellinus	genus
B_Cardiobacterium	genus
B_Aerococcus	genus
B_Methylophaga	genus
B_Marinomonas	genus
B_Auraticoccus	genus
F_Lobosporangium	genus
B_Actinoplanes	genus
B_Ruminococcus	genus
B_Labrys	genus
B_Pseudaminobacter	genus
B_Curtobacterium	genus
B_Ectothiorhodospira	genus
B_Cyanothece	genus
B_Actinomadura	genus
B_Saccharothrix	genus
F_Zygosaccharomyces	genus
F_Rigidoporus	genus
F_Rozella	genus
F_Capniomyces	genus
F_Psoroglaena	genus
B_Brevundimonas	genus
B_Mycobacterium	genus
B_Calothrix	genus
B_Salinicoccus	genus
B_Agrobacterium	genus
B_Chromobacterium	genus
B_Pajaroellobacter	genus
F_Hypocrella	genus
F_Phycomyces	genus
B_Macrococcus	genus
F_Cladophialophora	genus
B_Microcystis	genus
F_Leptosphaeria	genus
F_Trichoderma	genus
B_Cellulomonas	genus
B_Anabaena	genus
B_Aeromonas	genus
B_Actinoalloteichus	genus
F_Fusarium	genus
B_Marinobacter	genus
