source,target,cor,P/N
B_Azospirillum,A_Archaeoglobus,0.347247891,P
B_Providencia,A_Archaeoglobus,0.348484152,P
F_Hyphopichia,A_Archaeoglobus,0.417286959,P
F_Dentiscutata,A_Methanosarcina,0.377398082,P
B_Tistrella,A_Thermococcus,0.333545646,P
B_Acinetobacter,B_Pseudomonas,0.448034468,P
B_Cutibacterium,B_Pseudomonas,0.414113359,P
B_Corynebacterium,B_Pseudomonas,0.423983563,P
B_Deinococcus,B_Pseudomonas,0.337053283,P
B_Chryseobacterium,B_Pseudomonas,0.360249652,P
B_Micrococcus,B_Pseudomonas,0.319708226,P
B_Staphylococcus,B_Pseudomonas,0.387219066,P
B_Mycolicibacterium,B_Pseudomonas,0.321323912,P
B_Lawsonella,B_Pseudomonas,0.367202207,P
B_Escherichia,B_Pseudomonas,0.328597898,P
B_Salmonella,B_Pseudomonas,0.466681428,P
F_Emmonsia,B_Pseudomonas,0.325534909,N
F_Mortierella,B_Pseudomonas,0.407342259,N
F_Asellaria,B_Pseudomonas,0.341212559,P
B_Cutibacterium,B_Moraxella,0.46922834,P
B_Corynebacterium,B_Moraxella,0.548158353,P
B_Deinococcus,B_Moraxella,0.423933371,P
B_Chryseobacterium,B_Moraxella,0.4505689,P
B_Micrococcus,B_Moraxella,0.449701426,P
B_Streptococcus,B_Moraxella,0.406167676,P
B_Staphylococcus,B_Moraxella,0.443115375,P
B_Lactobacillus,B_Moraxella,0.375174781,P
B_Paracoccus,B_Moraxella,0.412194186,P
B_Sphingobium,B_Moraxella,0.333452468,P
B_Roseomonas,B_Moraxella,0.347427862,P
B_Janibacter,B_Moraxella,0.361898557,P
B_Kytococcus,B_Moraxella,0.35453469,P
B_Anaerococcus,B_Moraxella,0.365880818,P
F_Neurospora,B_Moraxella,0.32566563,N
F_Kriegeria,B_Moraxella,0.328738283,P
B_Cutibacterium,B_Acinetobacter,0.324273893,P
B_Streptococcus,B_Acinetobacter,0.349841979,P
B_Salmonella,B_Acinetobacter,0.344860473,P
B_Brachybacterium,B_Acinetobacter,0.346819458,P
B_Stenotrophomonas,B_Acinetobacter,0.32910254,P
F_Kregervanrija,B_Acinetobacter,0.346006593,N
F_Polyporoletus,B_Acinetobacter,0.326959795,N
F_Kriegeria,B_Acinetobacter,0.32303141,P
F_Mortierella,B_Acinetobacter,0.334945165,N
B_Corynebacterium,B_Cutibacterium,0.629334845,P
B_Deinococcus,B_Cutibacterium,0.441660443,P
B_Chryseobacterium,B_Cutibacterium,0.394431551,P
B_Micrococcus,B_Cutibacterium,0.500363603,P
B_Streptococcus,B_Cutibacterium,0.390591881,P
B_Staphylococcus,B_Cutibacterium,0.483473598,P
B_Bacillus,B_Cutibacterium,0.326804602,P
B_Lactobacillus,B_Cutibacterium,0.462728324,P
B_Paracoccus,B_Cutibacterium,0.461084742,P
B_Kocuria,B_Cutibacterium,0.33459488,P
B_Lawsonella,B_Cutibacterium,0.503980337,P
B_Haemophilus,B_Cutibacterium,0.364148624,P
B_Methylobacterium,B_Cutibacterium,0.372467153,P
B_Roseomonas,B_Cutibacterium,0.372862772,P
B_Janibacter,B_Cutibacterium,0.333389306,P
B_Dietzia,B_Cutibacterium,0.331175128,P
B_Anaerococcus,B_Cutibacterium,0.433520049,P
B_Propionibacterium,B_Cutibacterium,0.416069918,P
B_Delftia,B_Cutibacterium,0.337674978,P
F_Kriegeria,B_Cutibacterium,0.328752801,P
B_Deinococcus,B_Corynebacterium,0.433008717,P
