id,feature
F_Zymoseptoria,fungi
F_Zygosaccharomyces,fungi
F_Zygoascus,fungi
F_Yarrowia,fungi
F_Yamadamyces,fungi
F_Xylodon,fungi
F_Xylochrysis,fungi
F_Xylaria,fungi
F_Wickerhamomyces,fungi
F_Wickerhamiella,fungi
F_Volvocisporium,fungi
F_Volvariella,fungi
F_Vittaforma,fungi
F_Verrucula,fungi
F_Verrucaria,fungi
F_Velutarina,fungi
F_Varicosporium,fungi
F_Ustilago,fungi
F_Usnea,fungi
F_Uncinocarpus,fungi
F_Umbilicaria,fungi
F_Umbelopsis,fungi
F_Ugola,fungi
F_Tylopilus,fungi
F_Tubulicrinis,fungi
F_Tuber,fungi
F_Tubaria,fungi
F_Trichothecium,fungi
F_Trichophyton,fungi
F_Tretomyces,fungi
F_Tremella,fungi
F_Torula,fungi
F_Tortispora,fungi
F_Torpedospora,fungi
F_Tolypocladium,fungi
F_Tilletiaria,fungi
F_Thysanothecium,fungi
F_Thermothielavioides,fungi
F_Thermomyces,fungi
F_Thanatephorus,fungi
F_Termitomyces,fungi
F_Terfezia,fungi
F_Teratosphaeria,fungi
F_Teratoramularia,fungi
F_Telimena,fungi
F_Telasphaerula,fungi
F_Synchytrium,fungi
F_Symbiotaphrina,fungi
F_Superstratomyces,fungi
F_Sugiyamaella,fungi
F_Suberoteratosphaeria,fungi
F_Strongwellsea,fungi
F_Stereum,fungi
F_Starmerella,fungi
F_Sporothrix,fungi
F_Sporisorium,fungi
F_Spiromyces,fungi
F_Spathaspora,fungi
F_Sparassis,fungi
F_Smittium,fungi
F_Sistotrema,fungi
F_Simonyella,fungi
F_Serendipita,fungi
F_Septoglomus,fungi
F_Scutellospora,fungi
F_Scopuloides,fungi
F_Sclerotinia,fungi
F_Scleroderma,fungi
F_Schizothyrium,fungi
F_Schizosaccharomyces,fungi
F_Scedosporium,fungi
F_Saxomyces,fungi
F_Saturnispora,fungi
F_Sarcodon,fungi
F_Saitozyma,fungi
F_Saitoella,fungi
F_Saccharomyces,fungi
F_Rozella,fungi
F_Rinodina,fungi
F_Rigidoporus,fungi
F_Rickia,fungi
F_Rhynchosporium,fungi
F_Rhizopus,fungi
F_Rhizopogon,fungi
F_Rhizophydium,fungi
F_Rhizophagus,fungi
F_Rhizomucor,fungi
F_Rhexocercosporidium,fungi
F_Rectipilus,fungi
F_Ramaria,fungi
F_Raffaelea,fungi
F_Pyricularia,fungi
F_Pyrenophora,fungi
F_Purpureocillium,fungi
F_Psoroglaena,fungi
F_Psiloglonium,fungi
F_Pseudomerulius,fungi
F_Pseudogymnoascus,fungi
F_Pseudocercospora,fungi
F_Psathyrella,fungi
F_Postia,fungi
F_Porpomyces,fungi
F_Polyporus,fungi
F_Polyporoletus,fungi
F_Polycephalomyces,fungi
F_Podospora,fungi
F_Podosphaera,fungi
F_Pochonia,fungi
F_Pneumocystis,fungi
F_Pluteus,fungi
F_Pleurostoma,fungi
F_Pleurocollybia,fungi
F_Pleuroascus,fungi
F_Pleopsidium,fungi
F_Platythecium,fungi
F_Placopyrenium,fungi
F_Placidium,fungi
F_Pilobolus,fungi
F_Pileolaria,fungi
F_Pichia,fungi
F_Physconia,fungi
F_Physcia,fungi
F_Phyllopsora,fungi
F_Phyllobathelium,fungi
F_Phyllachora,fungi
F_Phruensis,fungi
F_Phragmotaenium,fungi
F_Phomopsis,fungi
F_Phoma,fungi
F_Phlyctochytrium,fungi
