source,target,cor,P/N
B_Afipia,A_Archaeoglobus,0.304713845,P
B_Azospirillum,A_Archaeoglobus,0.412631841,P
B_Providencia,A_Archaeoglobus,0.32788393,P
B_Ilumatobacter,A_Archaeoglobus,0.333965083,P
F_Candida,A_Archaeoglobus,0.275526053,P
F_Hyphopichia,A_Archaeoglobus,0.361709224,P
B_Campylobacter,A_Methanolobus,0.309405346,P
F_Petractis,A_Methanosarcina,0.308659167,P
B_Shewanella,A_Thermococcus,0.279071075,P
B_Nostoc,A_Thermococcus,0.275158734,P
B_Erwinia,A_Thermococcus,0.276653401,P
F_Hyalorbilia,A_Thermococcus,0.288762869,N
B_Acinetobacter,B_Pseudomonas,0.345317423,P
B_Escherichia,B_Pseudomonas,0.380354618,P
B_Liberibacter,B_Pseudomonas,0.299874202,N
B_Riemerella,B_Pseudomonas,0.39571023,N
B_Candidatus Cardinium,B_Pseudomonas,0.320166637,N
B_Alistipes,B_Pseudomonas,0.38995689,N
B_Hydrogenobaculum,B_Pseudomonas,0.294621489,N
B_Candidatus Saccharimonas,B_Pseudomonas,0.325917594,N
B_Corallococcus,B_Pseudomonas,0.330873783,N
B_Lutibacter,B_Pseudomonas,0.364134559,N
B_Apibacter,B_Pseudomonas,0.318670898,N
F_Pyrenophora,B_Pseudomonas,0.304493623,P
F_Podospora,B_Pseudomonas,0.310538607,P
F_Psathyrella,B_Pseudomonas,0.30200538,P
B_Acinetobacter,B_Moraxella,0.329391563,P
B_Cutibacterium,B_Moraxella,0.471956437,P
B_Corynebacterium,B_Moraxella,0.35155941,P
B_Deinococcus,B_Moraxella,0.383553864,P
B_Chryseobacterium,B_Moraxella,0.537621405,P
B_Micrococcus,B_Moraxella,0.491579228,P
B_Streptococcus,B_Moraxella,0.401365324,P
B_Sphingomonas,B_Moraxella,0.405221205,P
B_Paracoccus,B_Moraxella,0.444675625,P
B_Kocuria,B_Moraxella,0.414580914,P
B_Sphingobium,B_Moraxella,0.360868201,P
B_Dermacoccus,B_Moraxella,0.454239928,P
B_Methylobacterium,B_Moraxella,0.31273208,P
B_Leptotrichia,B_Moraxella,0.31246298,P
B_Roseomonas,B_Moraxella,0.367532247,P
B_Microbacterium,B_Moraxella,0.280238694,P
B_Neisseria,B_Moraxella,0.361093159,P
B_Janibacter,B_Moraxella,0.318275268,P
B_Fusobacterium,B_Moraxella,0.358784119,P
B_Propionibacterium,B_Moraxella,0.365037371,P
B_Rheinheimera,B_Moraxella,0.28256471,P
B_Capnocytophaga,B_Moraxella,0.319798072,P
B_Gemella,B_Moraxella,0.296354619,P
B_Veillonella,B_Moraxella,0.282284845,P
B_Riemerella,B_Moraxella,0.416080118,P
B_Candidatus Cardinium,B_Moraxella,0.332960604,P
B_Cloacibacterium,B_Moraxella,0.330361234,P
B_Citricoccus,B_Moraxella,0.386330975,P
B_Lachnoanaerobaculum,B_Moraxella,0.355491379,P
B_Devosia,B_Moraxella,0.372071677,P
B_Schaalia,B_Moraxella,0.278415658,P
B_Alistipes,B_Moraxella,0.350199597,P
B_Skermanella,B_Moraxella,0.281313692,P
B_Auritidibacter,B_Moraxella,0.286129661,P
B_Candidatus Saccharimonas,B_Moraxella,0.300775551,P
B_Spirochaeta,B_Moraxella,0.29477742,P
B_Corallococcus,B_Moraxella,0.321575448,P
B_Pontibacter,B_Moraxella,0.274007706,P
B_Acetobacter,B_Moraxella,0.305692749,P
B_Zymomonas,B_Moraxella,0.320684568,P
B_Lutibacter,B_Moraxella,0.369105159,P
B_Apibacter,B_Moraxella,0.351857662,P
B_Micavibrio,B_Moraxella,0.330974648,P
F_Umbilicaria,B_Moraxella,0.287181021,N
F_Medeolaria,B_Moraxella,0.278449263,N
F_Xenoacremonium,B_Moraxella,0.283687119,N
F_Kriegeria,B_Moraxella,0.291736971,P
F_Boothiomyces,B_Moraxella,0.299977105,N
F_Mortierella,B_Moraxella,0.331214653,N
F_Backusella,B_Moraxella,0.303611444,N
F_Neozygites,B_Moraxella,0.321003369,N
B_Cutibacterium,B_Acinetobacter,0.283279285,P
B_Corynebacterium,B_Acinetobacter,0.336164763,P
B_Sphingomonas,B_Acinetobacter,0.40168245,P
B_Paracoccus,B_Acinetobacter,0.303658487,P
B_Agrococcus,B_Acinetobacter,0.274708558,P
F_Mortierella,B_Acinetobacter,0.328159706,N
B_Corynebacterium,B_Cutibacterium,0.588676918,P
B_Deinococcus,B_Cutibacterium,0.324383857,P
B_Chryseobacterium,B_Cutibacterium,0.348076485,P
B_Micrococcus,B_Cutibacterium,0.450296518,P
B_Streptococcus,B_Cutibacterium,0.517766153,P
B_Staphylococcus,B_Cutibacterium,0.29331267,P
B_Sphingomonas,B_Cutibacterium,0.279709768,P
B_Lactobacillus,B_Cutibacterium,0.296263705,P
B_Paracoccus,B_Cutibacterium,0.425636215,P
B_Kocuria,B_Cutibacterium,0.306873391,P
B_Sphingobium,B_Cutibacterium,0.313253636,P
B_Dermacoccus,B_Cutibacterium,0.370225074,P
B_Lawsonella,B_Cutibacterium,0.401097423,P
B_Haemophilus,B_Cutibacterium,0.311811176,P
B_Neisseria,B_Cutibacterium,0.327592549,P
B_Janibacter,B_Cutibacterium,0.323919301,P
B_Kytococcus,B_Cutibacterium,0.313971698,P
B_Fusobacterium,B_Cutibacterium,0.323366485,P
B_Propionibacterium,B_Cutibacterium,0.275396924,P
B_Capnocytophaga,B_Cutibacterium,0.315507111,P
B_Riemerella,B_Cutibacterium,0.287753207,P
B_Candidatus Cardinium,B_Cutibacterium,0.318054674,P
B_Finegoldia,B_Cutibacterium,0.274001356,P
B_Corallococcus,B_Cutibacterium,0.307118377,P
B_Selenomonas,B_Cutibacterium,0.276572825,P
B_Lutibacter,B_Cutibacterium,0.273464678,P
B_Apibacter,B_Cutibacterium,0.28145682,P
F_Kriegeria,B_Cutibacterium,0.33417977,P
F_Cintractia,B_Cutibacterium,0.276270651,N
F_Mortierella,B_Cutibacterium,0.304869172,N
B_Chryseobacterium,B_Corynebacterium,0.300221983,P
B_Micrococcus,B_Corynebacterium,0.436034731,P
B_Streptococcus,B_Corynebacterium,0.369166574,P
B_Staphylococcus,B_Corynebacterium,0.380644417,P
B_Sphingomonas,B_Corynebacterium,0.314051306,P
B_Lactobacillus,B_Corynebacterium,0.274670069,P
B_Paracoccus,B_Corynebacterium,0.401885357,P
B_Kocuria,B_Corynebacterium,0.3251855,P
B_Chroococcidiopsis,B_Corynebacterium,0.304206618,P
B_Lawsonella,B_Corynebacterium,0.332245727,P
B_Haemophilus,B_Corynebacterium,0.352887287,P
B_Rothia,B_Corynebacterium,0.28441395,P
B_Dermabacter,B_Corynebacterium,0.287871279,P
B_Luteibacter,B_Corynebacterium,0.294742305,P
F_Sporothrix,B_Corynebacterium,0.274626545,N
F_Cintractia,B_Corynebacterium,0.344057425,N
F_Mortierella,B_Corynebacterium,0.341910775,N
B_Micrococcus,B_Deinococcus,0.413959926,P
B_Sphingomonas,B_Deinococcus,0.324472272,P
B_Paracoccus,B_Deinococcus,0.391732859,P
B_Sphingobium,B_Deinococcus,0.354591202,P
B_Dermacoccus,B_Deinococcus,0.324169052,P
B_Leptotrichia,B_Deinococcus,0.275515847,P
B_Microbacterium,B_Deinococcus,0.294989132,P
B_Neisseria,B_Deinococcus,0.290093352,P
