id,feature
F_Zymoseptoria,fungi
F_Zygosaccharomyces,fungi
F_Yarrowia,fungi
F_Xylaria,fungi
F_Xeromyces,fungi
F_Xenoacremonium,fungi
F_Wolfiporia,fungi
F_Wickerhamomyces,fungi
F_Wickerhamiella,fungi
F_Volvariella,fungi
F_Vittaforma,fungi
F_Verticillium,fungi
F_Verrucula,fungi
F_Verrucaria,fungi
F_Venturia,fungi
F_Velutarina,fungi
F_Vavraia,fungi
F_Varicosporium,fungi
F_Vararia,fungi
F_Ustilago,fungi
F_Ustilaginoidea,fungi
F_Usnea,fungi
F_Uncinocarpus,fungi
F_Umbilicaria,fungi
F_Ugola,fungi
F_Tylopilus,fungi
F_Tulostoma,fungi
F_Tulasnella,fungi
F_Tubulicrinis,fungi
F_Tuber,fungi
F_Tropicoporus,fungi
F_Tritirachium,fungi
F_Trichosporon,fungi
F_Trichophyton,fungi
F_Trichoderma,fungi
F_Tretomyces,fungi
F_Tremella,fungi
F_Trametes,fungi
F_Torulaspora,fungi
F_Torula,fungi
F_Tortispora,fungi
F_Torpedospora,fungi
F_Tieghemiomyces,fungi
F_Thysanothecium,fungi
F_Thermomyces,fungi
F_Tetrapisispora,fungi
F_Termitomyces,fungi
F_Teratosphaeria,fungi
F_Taiwanofungus,fungi
F_Synchytrium,fungi
F_Syncephalastrum,fungi
F_Symbiotaphrina,fungi
F_Superstratomyces,fungi
F_Suhomyces,fungi
F_Sugiyamaella,fungi
F_Suberoteratosphaeria,fungi
F_Stereum,fungi
F_Starmerella,fungi
F_Sporothrix,fungi
F_Spizellomyces,fungi
F_Spilonema,fungi
F_Sphaerulina,fungi
F_Spathaspora,fungi
F_Sodiomyces,fungi
F_Smittium,fungi
F_Sistotrema,fungi
F_Simonyella,fungi
F_Serpula,fungi
F_Serenomyces,fungi
F_Septoglomus,fungi
F_Septobasidium,fungi
F_Scopuloides,fungi
F_Sclerotium,fungi
F_Sclerotinia,fungi
F_Schizothyrium,fungi
F_Schizosaccharomyces,fungi
F_Schizophyllum,fungi
F_Scheffersomyces,fungi
F_Scedosporium,fungi
F_Saxomyces,fungi
F_Sarcodon,fungi
F_Saitozyma,fungi
F_Saitoella,fungi
F_Saccharomycopsis,fungi
F_Saccharomyces,fungi
F_Rozella,fungi
F_Robbauera,fungi
F_Rinodina,fungi
F_Rigidoporus,fungi
F_Rickia,fungi
F_Rhynchostoma,fungi
F_Rhynchosporium,fungi
F_Rhodotorula,fungi
F_Rhizopus,fungi
F_Rhizopogon,fungi
F_Rhizophydium,fungi
F_Rhizophagus,fungi
F_Rhizoctonia,fungi
F_Rhexocercosporidium,fungi
F_Reniforma,fungi
F_Rasamsonia,fungi
F_Ramicandelaber,fungi
F_Pyricularia,fungi
F_Pyrenophora,fungi
F_Purpureocillium,fungi
F_Psoroglaena,fungi
F_Psiloglonium,fungi
F_Pseudomicrostroma,fungi
F_Pseudomerulius,fungi
F_Pseudogymnoascus,fungi
F_Pseudocercospora,fungi
F_Psathyrella,fungi
F_Protomyces,fungi
F_Proliferophorum,fungi
F_Postia,fungi
F_Porpomyces,fungi
F_Porpidia,fungi
F_Polystigma,fungi
F_Polyporoletus,fungi
F_Polycephalomyces,fungi
F_Podospora,fungi
F_Podosphaera,fungi
F_Pochonia,fungi
F_Pluteus,fungi
F_Pleurotus,fungi
F_Pleurocollybia,fungi
F_Pleuroascus,fungi
F_Pleopsidium,fungi
